time,temperature_2m,relative_humidity_2m,apparent_temperature,surface_pressure,wind_speed_10m
2023-12-01T00:00,22.5,95,27.1,994.3,1.1
2023-12-01T01:00,23.0,92,27.4,994.8,2.3
2023-12-01T02:00,24.4,86,28.8,995.5,3.1
2023-12-01T03:00,26.3,77,30.7,996.4,3.9
2023-12-01T04:00,28.0,70,32.3,996.7,3.9
2023-12-01T05:00,29.0,64,32.1,996.1,11.0
2023-12-01T06:00,29.0,63,31.8,995.3,12.5
2023-12-01T07:00,30.0,60,33.0,993.9,13.2
2023-12-01T08:00,30.2,61,33.4,992.5,12.3
2023-12-01T09:00,30.3,60,33.4,991.3,12.5
2023-12-01T10:00,29.4,65,32.7,991.1,12.1
2023-12-01T11:00,28.6,69,31.9,991.8,12.8
2023-12-01T12:00,28.1,71,31.6,992.6,10.8
2023-12-01T13:00,27.3,72,30.5,992.9,10.0
2023-12-01T14:00,26.6,75,29.8,993.9,11.1
2023-12-01T15:00,26.3,77,29.3,994.8,13.0
2023-12-01T16:00,26.0,78,29.3,995.2,10.7
2023-12-01T17:00,25.7,80,29.2,995.1,9.2
2023-12-01T18:00,25.4,81,29.1,995.0,8.4
2023-12-01T19:00,25.4,81,29.0,994.7,8.4
2023-12-01T20:00,24.4,86,28.6,993.8,4.7
2023-12-01T21:00,23.6,92,27.7,993.2,6.1
2023-12-01T22:00,23.4,93,27.7,992.7,4.9
2023-12-01T23:00,23.0,94,27.5,992.7,3.1
2023-12-02T00:00,22.7,96,27.2,992.9,2.9
2023-12-02T01:00,23.9,89,28.6,993.4,1.6
2023-12-02T02:00,24.7,86,29.4,994.1,2.1
2023-12-02T03:00,26.7,77,31.4,994.9,2.3
2023-12-02T04:00,28.1,71,33.1,994.9,1.5
2023-12-02T05:00,29.0,67,33.7,994.4,2.3
2023-12-02T06:00,29.7,61,33.9,993.3,3.1
2023-12-02T07:00,30.6,56,34.9,992.1,1.8
2023-12-02T08:00,30.9,54,34.3,990.9,4.6
2023-12-02T09:00,31.5,52,34.8,990.0,5.4
2023-12-02T10:00,31.6,52,34.8,989.2,6.9
2023-12-02T11:00,31.2,58,35.3,989.7,4.7
2023-12-02T12:00,29.3,77,35.2,990.2,4.8
2023-12-02T13:00,27.6,68,30.3,991.4,12.2
2023-12-02T14:00,26.6,74,29.1,992.3,15.2
2023-12-02T15:00,26.1,78,29.6,992.8,10.2
2023-12-02T16:00,25.5,83,29.8,993.4,6.0
2023-12-02T17:00,24.9,90,30.4,993.6,1.1
2023-12-02T18:00,24.6,92,29.5,993.5,4.6
2023-12-02T19:00,24.5,88,28.5,993.1,7.9
2023-12-02T20:00,24.5,84,27.8,992.5,9.7
2023-12-02T21:00,24.3,83,27.6,991.6,8.3
2023-12-02T22:00,24.3,83,27.8,991.2,6.3
2023-12-02T23:00,23.7,88,27.7,991.1,4.5
2023-12-03T00:00,23.8,88,28.0,991.4,3.6
2023-12-03T01:00,24.1,91,29.1,992.6,1.6
2023-12-03T02:00,25.4,86,30.4,993.1,2.6
2023-12-03T03:00,26.9,76,31.5,994.3,3.4
2023-12-03T04:00,28.2,71,33.1,994.3,1.6
2023-12-03T05:00,29.3,67,34.0,994.0,3.1
2023-12-03T06:00,30.5,62,35.0,993.4,6.0
2023-12-03T07:00,31.4,57,36.0,992.1,5.9
